document,id,subject,category,country,gender,appeal_date,issue_date,action,all_dates
1649,365/11,second update to ua 365/11 on bahrain,freedom of expression|ill-treatment|female|bahrain|uas 2012,bahrain,,2012-03-26,2012-02-13,second update,2011-12-19|2012-02-13|2011-12-15|2012-03-26|2011-06-21|2011-11-23
1651,37/12,final update to ua 37/12 on sudan,incommunicado detention|risk of torture|male|sudan|uas 2012|risk of ill-treatment,sudan,,,2012-02-10,final update,2012-02-06|2012-02-10
1653,41/12,ua 41/12 on pakistan,death penalty|male|pakistan|uas 2012,pakistan,,2012-03-22,2012-02-10,initial,2012-02-10|2012-03-22|
1655,38/12,final update to ua 38/12 on cuba,freedom of expression|female|cuba|uas 2012,cuba,,,2012-02-10,final update,2012-02-07|2012-02-10
1657,38/12,final update to ua 38/12 on cuba,freedom of expression|female|cuba|uas 2012,cuba,,,2012-02-10,final update,2012-02-07|2012-02-10
1659,46/12,ua 46/12 on russian federation,freedom of expression|health concern|russia|uas 2012,russia,,2012-03-22,,initial,2012-02-09|2012-03-22
1661,45/12,ua 45/12 on saudi arabia,imminent execution|legal concern|male|saudi arabia|uas 2012,saudi arabia,,2012-03-22,,initial,2012-02-09|2005-10-02|1984-12-14|2012-03-22||2008-10-14
1663,44/12,ua 44/12 on burundi,prisoner of conscience|freedom of expression|male|activist|burundi|uas 2012,burundi,,2012-03-22,,initial,2012-02-09|2012-03-22
1665,43/12,ua 43/12 on nigeria,forced eviction|legal concern|uas 2012|nigeria#,nigeria,,2012-03-22,,initial,2012-02-09|2012-03-22|2009-08-28
1667,247/10,final update to ua 247/10 on yemen,prisoner of conscience|incommunicado detention|health concern|activist|male|yemen|uas 2012,yemen,,,,final update,2011-02-22|2012-02-08|2011-02-20|2011-02-20|2011-12-07|2012-01-17|2010-11-09
1669,42/12,ua 42/12 on colombia,death threats|fear for safety|harassment|legal professionals|male|colombia|uas 2012,colombia,,2012-03-21,,initial,2012-02-08|2012-03-21|1997-03-23
1671,42/12,ua 42/12 on colombia,death threats|fear for safety|harassment|legal professionals|male|colombia|uas 2012,colombia,,2012-03-21,,initial,2012-02-08|2012-03-21|1997-03-23
1673,357/11,first update to ua 357/11 on china,health concern|legal concern|torture|ill-treatment|male|china|uas 2012,china,,2012-03-21,2012-02-08,first update,2011-12-19|2012-02-08|2011-03-05|2011-10-29|2012-03-21
1675,31/12,first update to ua 31/12 on israel/opt,health concern|torture|ill-treatment|intimidation|male|activist|israel/opt|uas 2012,israel,,2012-03-21,2012-02-08,first update,2012-02-01|2012-02-08|2012-01-10|2012-03-21|2011-12-17|2012-01-29|2011-12-30|2012-01-31|2011-12-31
1677,24/12,second update to ua 24/12 on bahrain,freedom of expression|torture/ill-treatment|legal concern|male|bahrain|uas 2012,bahrain,,2012-03-19,2012-02-07,second update,2012-02-07|2012-02-06|2011-10-25|2012-01-24|2012-03-19|2011-03-06
1679,38/12,ua 38/12 on cuba,freedom of expression|blogger|female|cuba|uas 2012,cuba,,2012-02-20,2012-02-07,initial,2012-02-07|2012-02-20|2009-10-11
1681,38/12,ua 38/12 on cuba,freedom of expression|female|cuba|uas 2012,cuba,,2012-02-20,2012-02-07,initial,2012-02-07|2012-02-20|2009-10-11
1683,12/12,final update to ua 12/12 on usa (louisiana),juvenile offender|legal concern|female|usa|uas 2012,usa,,,2012-02-07,final update,2012-01-16|2012-02-07|2011-11-30
1685,39/12,urgent action 39/12 on panama,extrajudicial killing|fear for safety|uas 2012,panama,,2012-03-20,2012-02-07,unknown,2012-02-07|2012-03-20|2012-01-27
1687,37/12,urgent action 37/12 on sudan,incommunicado detention|risk of torture|risk of ill-treatment|intimidation|youth activist|sudan|uas 2012,sudan,,2012-03-19,2012-02-06,unknown,2012-02-06|2012-03-19
1689,14/12,first update to ua 14/12 on colombia,fear for safety|death threats|human rights defenders|male|female|colombia|uas 2012,colombia,,2012-03-19,2012-02-06,first update,2012-01-19|2012-02-06|2012-03-19
1691,349/11,second update to ua 349/11 on mexico,fear for safety|death threats|female|human rights defenders|mexico|uas 2012,mexico,,2012-03-19,2012-02-06,second update,2011-12-09|2012-02-06|2011-12-02|2012-03-19|2011-09-30
1693,36/12,ua 36/12 on florida,death penalty|usa|uas 2012,usa,,,2012-02-03,initial,2012-02-03|2012-01-09|2012-01-05|
1695,35/12,ua 35/12 on turkmenistan,medical concern|legal concern|turkmenistan|uas 2012,turkmenistan,,2012-03-16,2012-02-03,initial,2012-02-03||2012-03-16|2009-11-15
1697,34/12,urgent action 34/12 on albania,forced eviction|families|escr|albania|uas 2012,albania,,2012-03-15,2012-02-02,unknown,2012-02-02|2012-03-15
1699,33/12,urgent action 33/12 on syria,torture|ill-treatment|incommunicado detention|legal concern|male|farmer|syria|uas 2012,syria,,2012-03-15,2012-02-02,unknown,2012-02-02|2011-12-31|2011-12-31|2012-01-20|2012-03-15|2011-04-01
1701,31/12,urgent action 31/12 on israel/opt,medical concern|legal concern|male|israel/opt|uas 2012,israel,,2012-03-14,2012-02-01,unknown,2012-02-01|2011-12-18|2011-12-17|2011-12-30|2012-03-14|2011-12-17|2012-01-29|2011-12-30|2012-01-31|2012-01-10|2012-02-01|2011-12-31
1703,30/12,urgent action 30/12 on chad,forced eviction|chad|uas 2012,chad,,2012-03-14,2012-02-01,unknown,2012-02-01|2012-03-14
1705,24/12,first update to ua 24/12 on bahrain,legal concern|prisoner of conscience|risk of torture|male|bahrain|uas 2012#,bahrain,,2012-02-16,2012-02-01,first update,2012-02-01|2011-10-25|2012-01-24|2012-02-16
1707,294/11,first update to ua 294/11 on brazil,forced eviction|fear for safety|brazil|indigenous|uas 2012|community,brazil,,2012-03-14,2012-02-01,first update,2011-09-28|2012-02-01|2012-03-14
1709,32/12,urgent action 32/12 on albania,forced eviction|legal concern|albania|uas 2012,albania,,2012-03-14,2012-02-01,unknown,2012-02-01|2012-03-14
1711,205/11,third update to ua 205/11 on sudan,legal concern|health concern|male|human rights defenders|sudan|uas 2012,sudan,,2012-03-13,2012-01-31,third update,2011-07-01|2011-10-12|2012-01-31|2011-06-25|2011-10-09|2012-03-13
1713,353/11,final update to ua 353/11 on zimbabwe,arbitrary arrest|legal concern|female|male|zimbabwe|activist|uas 2012,zimbabwe,,,2012-01-31,final update,2011-12-09|2012-01-31|2011-12-05
1715,29/12,urgent action 29/12 on ukraine,unlawful detention|ill-treatment|death threats|male|ukraine|uas 2012|female,ukraine,,2012-03-13,2012-01-31,unknown,2012-01-31|2012-03-13
1717,13/12,first update to ua 13/12 on the philippines,enforced disappearance|risk of torture|risk of ill-treatment|incommunicado detention|male|teachers and educators|philippines|uas 2012#,philippines,,2012-03-12,2012-01-30,first update,2012-01-30|2012-03-12|2007-07-10|2011-10-19
1719,13/12,first update to ua 13/12 on the philippines,enforced disappearance|risk of torture|risk of ill-treatment|male|philippines|uas 2012,philippines,,2012-03-12,2012-01-30,first update,2012-01-30|2012-03-12|2007-07-10|2011-10-19
1721,27/12,ua 27/12 on iraq (issue date 27 january 2012),arbitrary arrest|incommunicado detention|risk of torture|risk of ill-treatment|women|iraq|uas 2012,iraq,,2012-03-08,2012-01-27,initial,2012-01-27|2012-01-27|2012-03-08
1723,28/12,ua 28/12 on honduras,death threats|fear for safety|female|journalists and writers|human rights defenders|honduras|uas 2012,honduras,,2012-03-08,2012-01-26,initial,2012-01-26|2012-03-08|2009-06-28
1725,26/12,ua 26/12 on colombia,fear for safety|abduction|human rights defenders|female|colombia|uas 2012,colombia,,2012-03-08,2012-01-26,initial,2012-01-26|2012-03-08||2001-03-26
1727,25/12,ua 25/12 on mexico,legal concern|unfair trial|fear for safety|human rights defenders|indigenous|male|mexico|uas 2012,mexico,,2012-03-14,2012-01-25,initial,2012-01-25|2012-03-14
1729,23/12,ua 23/12 on israel/opt,arbitrary arrest|legal concern|political leader|israel/palestinian authority|male|uas 2012,israel,,2012-03-07,2012-01-25,initial,2012-01-25|2012-01-19|2012-01-24|2012-03-07
1731,252/11,second update to ua 252/11 on syria,incommunicado detention|enforced disappearance|torture|ill-treatment|male|journalists and writers|syria|uas 2012,syria,,2012-03-14,2012-01-25,second update,2011-08-22|2012-01-25|2011-01-09|2011-10-31|2011-08-17|2011-08-24|2012-03-14|2011-04-01|2011-08-31
1733,190/11,final update to ua 190/11 on gambia,incommunicado detention|freedom of expression|prisoners of conscience|male|gambia|ua 190/11,gambia,,,2012-01-24,final update,2011-06-20|2012-01-24|2011-06-07
1735,212/11,third update to ua 212/11 on indonesia,fear for safety|threats|indonesia|uas 2012,indonesia,,2012-03-06,2012-01-24,third update,2011-07-06|2011-10-05|2012-01-24|2012-03-06|2011-07-18|2011-10-13
1737,21/12,ua 21/12 on sudan,incommunicado detention|fear for safety|risk of torture|risk of ill-treatment|student|activist|male|female|sudan|uas 2012,sudan,,2012-03-06,2012-01-24,initial,2012-01-24|2011-12-30|2012-03-06
1739,20/12,ua 20/12 on syria,medical concern|risk of torture|risk of ill-treatment|prisoner of conscience|activist|male|syria|uas 2012,syria,,2012-03-06,2012-01-24,initial,2012-01-24|2011-09-22|2012-03-06|2011-04-01|2011-10-20
1741,24/12,ua 24/12 on bahrain,legal concern|freedom of expression|torture|ill-treatment|male|bahrain|uas 2012,bahrain,,2012-03-06,2012-01-24,initial,2012-01-24|2012-01-24|2011-03-20|2012-01-24|2012-03-06|2011-10-25
1743,22/12,ua 22/12 on honduras,fear for safety|death threats|blogger|human rights defenders|honduras|uas 2012,honduras,,2012-03-06,2012-01-24,initial,2012-01-24|2012-03-06|2011-12-05
1745,351/11,first update to ua 351/11 on mexico,abduction|fear for safety|extra-judicial execution|enforced disappearance|torture|activist|environmental activists|male|female|mexico|uas 2012,mexico,,2012-03-05,2012-01-23,first update,2011-12-09|2012-01-23|2011-12-07|2012-03-05
1747,355/11,final update to ua 355/11 on cuba,|subject:  final update to ua 355/11 on cuba,cuba,,,2012-01-23,final update,2011-12-09|2011-12-13|2012-01-23
1749,14/10,first update to ua 14/10 on iraq,imminent execution|legal concern|death penalty|male|iraq|uas 2012,iraq,,2012-03-02,2012-01-20,first update,2010-01-15|2012-01-20|2010-01-14|2009-08-19|2012-01-19|2012-03-02
1751,19/12,ua 19/12 on mexico,torture|harassment|fear for safety|intimidation|impunity|female|male|families|mexico|uas 2012,mexico,,2012-03-02,2012-01-20,initial,2012-01-20|2012-01-13|2012-03-02|2009-06-16
1753,18/12,ua 18/12 on colombia,death threats|fear for safety|extra-judicial execution|harassment|intimidation|ngo|colombia|uas 2012,colombia,,2012-03-02,2012-01-20,initial,2012-01-20|2011-03-23|2011-03-23|2012-03-02|2011-12-13|2011-03-23
1755,355/11,second update to 355/11 on cuba,freedom of expression|prisoners of conscience|arbitrary arrest|activist|female|male|cuba|uas 2012,cuba,,2012-03-02,2012-01-20,unknown,2011-12-09|2012-01-20|2011-11-30|2012-03-02
1757,16/12,ua 16/12 on syria,abduction|torture|ill-treatment|incommunicado detention|activist|male|syria|uas 2012,syria,,2012-03-01,2012-01-19,initial,2012-01-19|2012-01-10|2012-03-01|2011-04-01
1759,15/12,ua 15/12 on mexico,fear for safety|torture|impunity|intimidation|students|mexico|uas 2012,mexico,,2012-03-01,2012-01-19,initial,2012-01-19|2011-12-12|2012-03-01
1761,14/12,ua 14/12 on colombia,death threats|fear for safety|human rights defenders|male|colombia|uas 2012,colombia,,2012-03-01,2012-01-19,initial,2012-01-19|1989-01-18|2012-03-01
1763,10/12,ua 10/12 on china,imminent execution|legal concern|male|china|uas 2012,china,,2012-03-01,2012-01-19,initial,2012-01-19|2011-09-28|2007-12-18|2010-12-21|2012-03-01
1765,5/12,final update to ua 5/12 on usa (delaware),death penalty|imminent execution|legal concern|male|uas 2012,usa,,,2012-01-18,final update,2012-01-06|2012-01-18||||
1767,342/11,first update to ua 342/11 on japan,death penalty|imminent execution|japan|uas 2012,japan,,2012-02-29,2012-01-18,first update,2012-01-18|2011-12-31|2012-02-29|2010-07-28
1769,13/12,ua 13/12 on philippines,enforced disappearance|incommunicado detention|risk of torture|risk of ill-treatment|arbitrary arrest|teachers and educators|philippines|uas 2012,philippines,,2012-02-29,2012-01-18,initial,2012-01-18|2012-01-03|2012-02-29|2007-07-10|2011-10-19
1771,336/11,final update to ua 336/11 on chad (issued 1/17/2012),freedom of expression|arbitrary arrest|human rights defenders|male|chad|uas 2012,chad (issued 1,,,2012-01-17,final update,2011-12-20|2012-01-17|2011-12-30
1773,345/11,final update to ua 345/11 on syria (issued 1/16/2012),arbitrary arrest|incommunicado detention|fear for safety|torture|ill-treatment|student|male|syria|uas 2012,syria,,,2012-01-17,final update,2011-11-25|2012-01-17|2011-11-18
1775,1/12,final update to ua 1/12 on sudan (issued 1/17/2012),risk of torture|risk of ill-treatment|incommunicado detention|torture|ill-treatment|activist|male|sudan|uas 2012,sudan,,,2012-01-17,final update,2012-01-03|2012-01-17|2011-12-26|2012-01-16|2011-03-13
1777,11/12,ua 11/12 on mexico (issued 1/17/2012),enforced disappearance|legal concern|mexico|uas 2012,mexico,,2012-02-28,2012-01-17,initial,2012-01-17|2012-02-28
1779,12/12,urgent action 12/12 on usa (louisiana) (issued 1/16/2012),juvenile offender|legal concern|female|usa|uas 2012,usa,,2012-01-23,2012-01-16,unknown,2012-01-16|2011-11-30|2012-01-23
1781,296/09,sixth update to ua 296/09 on singapore (issued 1/16/2012),death penalty|imminent execution|male|singapore|uas 2012,singapore,,2012-02-27,2012-01-16,sixth update,2009-11-03|2009-12-11|2010-05-14|2011-01-24|2012-01-16|2012-01-15|2012-02-27
1783,9/12,ua 9/12 on indonesia,forcible return|fear for safety|impunity|harassment|community|children|indonesia|uas 2012,indonesia,,2012-02-24,2012-01-13,initial,2012-01-13|2011-12-28|2011-01-04|2012-02-24|
1785,368/11,final update to ua 368/11 on maldives,prisoner of conscience|unlawful detention|activist|male|maldives|uas 2012,maldives,,,2012-01-13,final update,2012-12-22|2012-01-13|2011-12-10
1787,8/12,ua 8/12 on india,arbitrary arrest|harassment|escr|corporate abuse|activist|male|political leader|india|uas 2012,india,,2012-02-23,2012-01-12,initial,2012-01-12|2011-12-23|2011-11-25|2012-02-23
1789,7/12,ua 7/12 on cambodia,forced eviction|arbitrary detention|escr|fear for safety|risk of ill-treatment|women|children|cambodia|uas 2012,cambodia,,2012-02-22,2012-01-11,initial,2012-01-11|2012-01-03|2012-02-22
1791,340/11,first update to ua 340/11 on mexico,forced eviction|arbitrary detention|legal concern|harassment|community|children|migrants|mexico|uas 2012,mexico,,2012-02-22,2012-01-11,first update,2011-11-22|2012-01-11|2012-02-22
1793,122/11,final update to ua 122/11 on bahrain,risk of execution|legal concern|torture|male|bahrain|uas 2011,bahrain,,,2012-01-10,final update,2011-04-28|2011-10-11|2011-06-15|2011-05-23|2012-01-10|2011-04-28
1795,3/12,ua 3/12 on iran,death penalty|legal concern|prisoner of conscience|imminent execution|female|iran|uas 2012,iran,,2012-02-17,2012-01-06,initial,2012-01-06|2011-12-25|2012-02-17|2010-12-12
1797,267/11,final update to ua 267/11 on syria,incommunicado detention|risk of torture|risk of ill-treatment|prisoner of conscience|male|activist|syria|uas 2012,syria,,,2012-01-06,final update,2011-09-02|2012-01-06|2011-11-05|2011-08-30
1799,2/12,final update to ua 2/12 on uae,risk of torture|risk of ill-treatment|arbitrary arrest|health concern|enforced disappearance|legal concern|male|uae|uas 2012,united arab emirates,,,2012-01-06,final update,2012-01-06
1801,50/11,third update to ua 50/11 on china,incommunicado detention|freedom of expression|legal concern|activist|male|female|internet freedom|china|uas 2012,china,,2012-02-16,2012-01-06,third update,2011-03-01|2011-09-09|2012-01-06|2011-12-23|2011-12-01|2011-12-01|2011-08-09|2012-02-16|2011-02-20|2011-02-19|2011-02-19|2011-02-21
1803,5/12,ua 5/12 on usa (delaware),death penalty|legal concern|male|usa|uas 2012,delaware,,,2012-01-06,initial,2012-01-06|1990-05-10|1992-10-29|2012-01-20|2009-04-13|
1805,6/12,ua 6/12 on syria,health concern|risk of torture|risk of ill-treatment|incommunicado detention|freedom of expression|male|activist|syria|uas 2012,syria,,2012-02-17,2012-01-06,initial,2012-01-06|2012-01-01|2012-02-17|2011-09-07|2011-09-06|2011-01-01
1807,2/12,ua 2/12 on uae,risk of torture|risk of ill-treatment|arbitrary arrest|health concern|enforced disappearance|legal concern|male|uae|uas 2012,united arab emirates,,2012-02-16,2012-01-05,initial,2012-01-05|2011-11-17|2012-02-16|2009-06-15|2011-03-09|2011-11-27|2011-12-02
1809,4/12,ua 4/12 on bahrain,torture|ill-treatment|health concern|male|student|bahrain|uas 2012,bahrain,,2012-02-16,2012-01-05,initial,2012-01-05|2012-01-03|2012-02-16
1811,1/12,ua 1/12 on sudan,risk of torture|risk of ill-treatment|incommunicado detention|activist|sudan|uas 2012|male,sudan,,2012-02-14,2012-01-03,initial,2012-01-03|2011-12-26|2011-12-26|2012-02-14
1813,369/11,ua 369/11 on brazil,intimidation|harassment|fear for safety|indigenous|community leader|male|female|brazil|uas 2011,brazil,,2012-02-03,2011-12-23,initial,2011-12-23|2012-02-03|2010-10-30|2010-11-24
1815,371/11,ua 371/11 on saudi arabia,freedom of expression|risk of torture|risk of ill-treatment|activist|male|saudi arabia|uas 2011,saudi arabia,,2012-02-02,2011-12-01,initial,2011-12-22|2012-02-02|2008-12-27|2008-12-30|2011-03-07|2011-12-01
1817,370/11,ua 370/11 on india,unlawful detention|juvenile offender|male|india|uas 2011,india,,2012-02-01,2011-12-22,initial,2011-12-22|2012-02-01
1819,194/11,first update to ua 194/11 on israel/opt,forced eviction|families|children|israel/palestinian authority|uas 2011,israel,,2012-02-02,2011-12-22,first update,2011-06-22|2011-12-22|2012-02-09|2012-02-02|2011-06-10
1821,368/11,ua 368/11 on maldives,prisoner of conscience|unlawful detention|activist|male|maldives|uas 2011,maldives,,2012-02-02,2011-12-22,initial,2011-12-22|2012-02-02
1823,320/11,first update to ua 320/11 on iraq,forcible return|fear for safety|asylum seeker|male|female|iraq|uas 2011,iraq,,2011-12-31,2011-12-22,first update,2011-12-22|2011-12-31|2009-12-15|2011-04-08|2009-07-29
